Player Name,Position,Matches Played,Goals,Assists,Yellow Cards,Red Cards
Player 1,DF,8,11,1,0,2
Player 2,DF,18,8,10,0,0
Player 3,MF,15,3,5,1,2
Player 4,DF,9,7,5,2,0
Player 5,FW,19,13,8,3,0
Player 6,MF,9,15,1,0,2
Player 7,FW,19,14,8,2,1
Player 8,GK,14,4,6,1,2
Player 9,MF,13,7,8,4,2
Player 10,FW,19,13,0,4,0
Player 11,MF,11,14,10,2,2
Player 12,DF,6,3,4,2,2
Player 13,GK,16,6,3,0,1
Player 14,DF,10,15,6,5,2
Player 15,GK,5,12,7,5,0
Player 16,FW,18,9,8,3,1
Player 17,GK,16,4,10,4,0
Player 18,FW,16,13,10,5,2
