Player Name,Position,Matches Played,Goals,Assists,Yellow Cards,Red Cards
Player 1,DF,14,1,3,1,0
Player 2,DF,13,0,7,4,2
Player 3,GK,5,11,0,2,1
Player 4,MF,6,10,10,3,0
Player 5,MF,11,6,2,3,0
Player 6,DF,12,3,1,1,2
Player 7,GK,13,5,2,5,2
Player 8,FW,20,13,4,4,0
Player 9,GK,13,15,6,4,1
Player 10,GK,12,12,5,1,0
Player 11,FW,18,5,5,5,2
Player 12,GK,13,8,10,4,2
Player 13,GK,10,12,6,4,1
Player 14,FW,7,14,5,3,0
Player 15,MF,18,7,9,2,1
Player 16,MF,12,3,5,5,2
Player 17,GK,18,2,0,1,1
Player 18,GK,9,14,10,2,2
