Player Name,Position,Matches Played,Goals,Assists,Yellow Cards,Red Cards
Player 1,FW,5,11,2,0,2
Player 2,DF,10,8,5,2,2
Player 3,FW,11,10,4,5,1
Player 4,GK,6,2,4,2,0
Player 5,MF,14,3,6,2,2
Player 6,FW,19,3,5,5,0
Player 7,MF,16,13,6,3,1
Player 8,GK,6,12,2,2,1
Player 9,FW,11,15,5,0,1
Player 10,MF,14,13,5,0,2
Player 11,MF,20,9,1,0,0
Player 12,MF,19,6,3,1,0
Player 13,FW,16,1,7,5,2
Player 14,DF,14,6,9,4,2
Player 15,MF,16,3,10,1,2
Player 16,FW,20,1,2,4,0
Player 17,DF,6,0,1,5,2
Player 18,MF,18,15,9,5,2
