Player Name,Position,Matches Played,Goals,Assists,Yellow Cards,Red Cards
Player 1,DF,18,3,3,4,0
Player 2,DF,13,1,5,2,2
Player 3,FW,20,10,5,4,0
Player 4,DF,9,10,6,1,1
Player 5,FW,10,9,8,2,2
Player 6,GK,14,5,5,3,2
Player 7,DF,11,0,9,2,1
Player 8,DF,13,7,1,3,0
Player 9,FW,15,14,8,2,0
Player 10,GK,12,1,10,5,1
Player 11,FW,20,8,0,3,1
Player 12,MF,10,15,7,2,0
Player 13,GK,16,4,6,3,2
Player 14,DF,17,3,4,1,1
Player 15,DF,12,4,1,5,0
Player 16,FW,12,2,0,5,1
Player 17,FW,13,15,9,5,2
Player 18,GK,12,5,2,5,2
