Player Name,Position,Matches Played,Goals,Assists,Yellow Cards,Red Cards
Player 1,GK,14,11,2,0,1
Player 2,MF,10,8,9,2,2
Player 3,MF,13,14,4,0,1
Player 4,GK,11,10,4,5,0
Player 5,FW,12,9,6,2,0
Player 6,GK,15,14,8,3,0
Player 7,DF,17,8,3,4,2
Player 8,MF,9,13,8,5,0
Player 9,DF,16,5,2,0,0
Player 10,DF,17,6,10,4,2
Player 11,FW,9,12,6,0,0
Player 12,DF,11,15,1,5,2
Player 13,DF,20,14,4,3,0
Player 14,FW,14,7,3,0,0
Player 15,FW,16,11,9,3,1
Player 16,FW,10,2,6,0,2
Player 17,GK,18,13,9,1,1
Player 18,FW,17,4,4,3,1
